"Date","Price","Open","High","Low","Change %"
"Sep 23, 2020","9.7917","9.7626","9.8480","9.7049","0.38%"
"Sep 22, 2020","9.7544","9.7792","9.8424","9.7104","-0.23%"
"Sep 21, 2020","9.7770","9.7695","9.8346","9.7394","0.18%"
"Sep 18, 2020","9.7590","9.7955","9.8403","9.7480","-0.30%"
"Sep 17, 2020","9.7884","9.7341","9.8243","9.6678","0.59%"
"Sep 16, 2020","9.7308","9.6590","9.7668","9.6295","0.88%"
"Sep 15, 2020","9.6457","9.6194","9.6793","9.5875","0.34%"
"Sep 14, 2020","9.6132","9.5608","9.6840","9.5520","0.56%"
"Sep 11, 2020","9.5594","9.5361","9.6106","9.5222","0.25%"
"Sep 10, 2020","9.5358","9.7342","9.7605","9.5154","-1.98%"
"Sep 09, 2020","9.7286","9.7173","9.7575","9.6430","0.18%"
"Sep 08, 2020","9.7112","9.8203","9.8309","9.7088","-1.05%"
"Sep 07, 2020","9.8142","9.8750","9.8840","9.7718","-0.59%"
"Sep 04, 2020","9.8729","9.8771","9.9195","9.7784","0.01%"
"Sep 03, 2020","9.8717","9.8631","9.9030","9.7963","0.17%"
"Sep 02, 2020","9.8545","9.8622","9.8801","9.7907","-0.00%"
"Sep 01, 2020","9.8546","9.8252","9.9226","9.8138","0.33%"
"Aug 31, 2020","9.8217","9.7885","9.8679","9.7313","0.34%"
"Aug 28, 2020","9.7887","9.7182","9.8076","9.6787","0.78%"
"Aug 27, 2020","9.7127","9.7338","9.7607","9.6291","-0.17%"
"Aug 26, 2020","9.7293","9.7236","9.7631","9.6184","0.16%"
"Aug 25, 2020","9.7142","9.6390","9.7458","9.6206","0.81%"
"Aug 24, 2020","9.6363","9.6033","9.6931","9.5566","0.36%"
"Aug 21, 2020","9.6013","9.6447","9.7238","9.4290","-0.37%"
"Aug 20, 2020","9.6366","9.5503","9.6941","9.5060","0.92%"
"Aug 19, 2020","9.5491","9.7605","9.7973","9.4807","-2.11%"
"Aug 18, 2020","9.7551","9.6719","9.7778","9.6670","0.91%"
"Aug 17, 2020","9.6676","9.6446","9.7014","9.6299","0.31%"
"Aug 14, 2020","9.6382","9.5840","9.6983","9.5381","0.58%"
"Aug 13, 2020","9.5822","9.5563","9.6416","9.5004","0.34%"
"Aug 12, 2020","9.5501","9.4362","9.5861","9.3731","1.62%"
"Aug 11, 2020","9.3978","9.5880","9.6249","9.3904","-1.94%"
"Aug 10, 2020","9.5841","9.5129","9.6172","9.4549","0.72%"
"Aug 07, 2020","9.5156","9.5209","9.6651","9.2962","0.03%"
"Aug 06, 2020","9.5127","9.2422","9.6383","9.2158","3.00%"
"Aug 05, 2020","9.2358","9.0201","9.3112","9.0113","2.47%"
"Aug 04, 2020","9.0134","9.0969","9.1334","8.9939","-0.87%"
"Aug 03, 2020","9.0926","9.1244","9.1614","9.0704","-0.29%"
"Jul 31, 2020","9.1191","9.1627","9.1920","9.1159","-0.38%"
"Jul 30, 2020","9.1542","9.0762","9.1753","8.9963","0.88%"
"Jul 29, 2020","9.0741","8.9690","9.1018","8.9458","1.22%"
"Jul 28, 2020","8.9650","8.8406","9.0317","8.8065","1.46%"
"Jul 27, 2020","8.8357","8.7563","8.9663","8.7471","0.92%"
"Jul 24, 2020","8.7549","8.7198","8.7697","8.6947","0.49%"
"Jul 23, 2020","8.7121","8.7229","8.7384","8.6665","-0.11%"
"Jul 22, 2020","8.7214","8.6895","8.7348","8.6518","0.45%"
"Jul 21, 2020","8.6819","8.6803","8.7370","8.6674","-0.01%"
"Jul 20, 2020","8.6825","8.6180","8.6976","8.5817","0.78%"
"Jul 17, 2020","8.6149","8.6071","8.6433","8.5697","0.16%"
"Jul 16, 2020","8.6008","8.6273","8.6600","8.5770","-0.23%"
"Jul 15, 2020","8.6209","8.6163","8.6861","8.6127","0.11%"
"Jul 14, 2020","8.6112","8.6123","8.6301","8.5604","0.05%"
